asset_id,machine_type,sop_task,frequency,ppe_required,critical_task,location
CR-MAT-0001,CNC Axle Turning Lathe,Check CNC axis calibration,Monthly,No,Yes,Wheel Reprofiling Plant
CR-MAT-0001,CNC Axle Turning Lathe,Inspect hydraulic pressure system,Monthly,No,No,Wheel Reprofiling Plant
CR-MAT-0001,CNC Axle Turning Lathe,Check spindle bearing vibration,Quarterly,Yes,Yes,Wheel Reprofiling Plant
CR-MAT-0001,CNC Axle Turning Lathe,Verify servo motor performance,Quarterly,Yes,No,Wheel Reprofiling Plant
CR-MAT-0001,CNC Axle Turning Lathe,Inspect lubrication pump operation,Monthly,Yes,No,Wheel Reprofiling Plant
CR-MAT-0001,CNC Axle Turning Lathe,Check tool turret indexing accuracy,Monthly,Yes,No,Wheel Reprofiling Plant
CR-MAT-0001,CNC Axle Turning Lathe,Inspect coolant filtration unit,Monthly,No,No,Wheel Reprofiling Plant
CR-MAT-0001,CNC Axle Turning Lathe,Verify CNC backup battery health,Quarterly,Yes,No,Wheel Reprofiling Plant
CR-MAT-0001,CNC Axle Turning Lathe,Check way cover condition,Monthly,No,No,Wheel Reprofiling Plant
CR-MAT-0001,CNC Axle Turning Lathe,Inspect chip conveyor operation,Monthly,Yes,Yes,Wheel Reprofiling Plant
CR-MAT-0001,CNC Axle Turning Lathe,Verify axis ball screw backlash,Quarterly,Yes,Yes,Wheel Reprofiling Plant
CR-MAT-0001,CNC Axle Turning Lathe,Check emergency stop circuit integrity,Monthly,Yes,Yes,Wheel Reprofiling Plant
CR-MAT-0002,CNC Axle Turning Lathe,Check CNC axis calibration,Monthly,Yes,No,LHB Coach Maintenance Facility
CR-MAT-0002,CNC Axle Turning Lathe,Inspect hydraulic pressure system,Monthly,Yes,Yes,LHB Coach Maintenance Facility
CR-MAT-0002,CNC Axle Turning Lathe,Check spindle bearing vibration,Quarterly,No,Yes,LHB Coach Maintenance Facility
CR-MAT-0002,CNC Axle Turning Lathe,Verify servo motor performance,Quarterly,Yes,No,LHB Coach Maintenance Facility
CR-MAT-0002,CNC Axle Turning Lathe,Inspect lubrication pump operation,Monthly,Yes,No,LHB Coach Maintenance Facility
CR-MAT-0002,CNC Axle Turning Lathe,Check tool turret indexing accuracy,Monthly,Yes,Yes,LHB Coach Maintenance Facility
CR-MAT-0002,CNC Axle Turning Lathe,Inspect coolant filtration unit,Monthly,Yes,No,LHB Coach Maintenance Facility
CR-MAT-0002,CNC Axle Turning Lathe,Verify CNC backup battery health,Quarterly,Yes,Yes,LHB Coach Maintenance Facility
