asset_id,shop_name,machine_type,model_name,manufacturer,install_year,last_maintenance_date,criticality,image_url
CR-MAT-0001,Wheel Reprofiling Plant,CNC Axle Turning Lathe,HMT NH26 Lathe,Olympus,2021,26-11-2024,High,https://res.cloudinary.com/dxvvzdpzk/image/upload/v1770358382/cr_workshop_machines/type_cnc_axle_turning_lathe.jpg
CR-MAT-0002,LHB Coach Maintenance Facility,CNC Axle Turning Lathe,HMT RM65,Enerpac,2010,19-12-2024,Medium,https://res.cloudinary.com/dxvvzdpzk/image/upload/v1770358382/cr_workshop_machines/type_cnc_axle_turning_lathe.jpg
CR-MAT-0003,Automatic Bogie Wash Plant,Bogie Wash System,IR Underframe Jig Mk3,SMS Meer,2011,22-02-2023,Low,https://res.cloudinary.com/dxvvzdpzk/image/upload/v1770358384/cr_workshop_machines/type_bogie_wash_system.webp
CR-MAT-0004,Trolley Shop,Spring Testing Machine,IR Bogie Assembly Fixture Mk2,FIE,2023,18-07-2025,High,https://res.cloudinary.com/dxvvzdpzk/image/upload/v1770358385/cr_workshop_machines/type_spring_testing_machine.jpg
CR-MAT-0005,Lifting Underframe Shop,Slotting Machine,HMT VDM50,SMS Meer,2022,01-09-2025,High,https://res.cloudinary.com/dxvvzdpzk/image/upload/v1770358386/cr_workshop_machines/type_slotting_machine.webp
CR-MAT-0006,Shock Absorber Shop,CNC Axle Turning Lathe,HMT FN3 Milling,MTS,2018,21-05-2025,Medium,https://res.cloudinary.com/dxvvzdpzk/image/upload/v1770358382/cr_workshop_machines/type_cnc_axle_turning_lathe.jpg
CR-MAT-0007,Wheel Reprofiling Plant,Hydraulic Wheel Press,SKF TIH Heater,SMS Meer,2018,15-02-2023,Low,https://res.cloudinary.com/dxvvzdpzk/image/upload/v1770358387/cr_workshop_machines/type_hydraulic_wheel_press.png
CR-MAT-0008,Axle Turning Lathe Section,CNC Axle Turning Lathe,MTS Damper Tester,MTS,2008,04-07-2025,Medium,https://res.cloudinary.com/dxvvzdpzk/image/upload/v1770358382/cr_workshop_machines/type_cnc_axle_turning_lathe.jpg
CR-MAT-0009,Lifting Underframe Shop,Spring Testing Machine,HMT Slotter S200,Enerpac,2021,24-11-2025,Medium,https://res.cloudinary.com/dxvvzdpzk/image/upload/v1770358385/cr_workshop_machines/type_spring_testing_machine.jpg
CR-MAT-0010,Wheel Reprofiling Plant,Radial Drilling Machine,IR Bogie Assembly Fixture Mk2,MTS,2012,01-04-2024,High,https://res.cloudinary.com/dxvvzdpzk/image/upload/v1770358388/cr_workshop_machines/type_radial_drilling_machine.jpg
CR-MAT-0011,Automatic Bogie Wash Plant,Slotting Machine,ESAB Arc Welding Pro,FIE,2012,26-01-2025,Medium,https://res.cloudinary.com/dxvvzdpzk/image/upload/v1770358386/cr_workshop_machines/type_slotting_machine.webp
CR-MAT-0012,LHB Coach Maintenance Facility,Grinding Machine,HMT FN2 Shaper,MTS,2020,27-02-2023,High,https://res.cloudinary.com/dxvvzdpzk/image/upload/v1770358390/cr_workshop_machines/type_grinding_machine.jpg
CR-MAT-0013,Heavy Corrosion Shop,Bearing Induction Heater,IR Bogie Assembly Fixture Mk2,SMS Meer,2023,25-02-2024,Low,https://res.cloudinary.com/dxvvzdpzk/image/upload/v1770358498/cr_workshop_machines/type_bearing_induction_heater.avif
CR-MAT-0014,Shock Absorber Shop,Slotting Machine,Automatic Bogie Wash Mk2,Enerpac,2010,17-01-2025,High,https://res.cloudinary.com/dxvvzdpzk/image/upload/v1770358386/cr_workshop_machines/type_slotting_machine.webp
CR-MAT-0015,Axle Turning Lathe Section,Grinding Machine,IR Underframe Jig Mk3,FIE,2009,14-11-2025,Medium,https://res.cloudinary.com/dxvvzdpzk/image/upload/v1770358390/cr_workshop_machines/type_grinding_machine.jpg
CR-MAT-0016,Centre Lathe Section,Shaper Machine,Enerpac 500T Press,MTS,2011,01-12-2023,High,https://res.cloudinary.com/dxvvzdpzk/image/upload/v1770358499/cr_workshop_machines/type_shaper_machine.webp
CR-MAT-0017,LHB Coach Maintenance Facility,Ultrasonic Wheel Inspection System,Olympus UT System,HMT,2012,07-11-2023,Medium,https://res.cloudinary.com/dxvvzdpzk/image/upload/v1770358500/cr_workshop_machines/type_ultrasonic_wheel_inspection_sy.png
CR-MAT-0018,Lifting Underframe Shop,Gang Drilling Machine,IR Bogie Assembly Fixture Mk2,HMT,2023,27-02-2025,High,https://res.cloudinary.com/dxvvzdpzk/image/upload/v1770358501/cr_workshop_machines/type_gang_drilling_machine.jpg
CR-MAT-0019,Wheel Reprofiling Plant,Planer Machine,ATL-200 Fanuc CNC,SMS Meer,2016,04-02-2025,High,https://res.cloudinary.com/dxvvzdpzk/image/upload/v1770358563/cr_workshop_machines/type_planer_machine.webp
CR-MAT-0020,Lifting Underframe Shop,Wheel Re-Disking Machine,MTS Damper Tester,ESAB,2019,19-09-2025,Medium,https://res.cloudinary.com/dxvvzdpzk/image/upload/v1770358503/cr_workshop_machines/type_wheel_re_disking_machine.png
CR-MAT-0021,Shock Absorber Shop,Hydraulic Wheel Press,HMT Slotter S200,Olympus,2016,20-01-2025,Medium,https://res.cloudinary.com/dxvvzdpzk/image/upload/v1770358387/cr_workshop_machines/type_hydraulic_wheel_press.png
CR-MAT-0022,Centre Lathe Section,Wheel Re-Disking Machine,HMT RM65,FIE,2018,02-10-2023,Medium,https://res.cloudinary.com/dxvvzdpzk/image/upload/v1770358503/cr_workshop_machines/type_wheel_re_disking_machine.png
CR-MAT-0023,General Machine Shop,Grinding Machine,ATL-200 Fanuc CNC,MTS,2018,20-02-2025,Low,https://res.cloudinary.com/dxvvzdpzk/image/upload/v1770358390/cr_workshop_machines/type_grinding_machine.jpg
CR-MAT-0024,Centre Lathe Section,Grinding Machine,HMT Slotter S200,FIE,2009,03-04-2023,Low,https://res.cloudinary.com/dxvvzdpzk/image/upload/v1770358390/cr_workshop_machines/type_grinding_machine.jpg
CR-MAT-0025,Heavy Corrosion Shop,Underframe Inspection Jig,HMT FN3 Milling,SKF,2010,19-01-2025,Medium,https://res.cloudinary.com/dxvvzdpzk/image/upload/v1770358504/cr_workshop_machines/type_underframe_inspection_jig.jpg
CR-MAT-0026,Centre Lathe Section,Bogie Wash System,Olympus UT System,HMT,2023,15-04-2025,Low,https://res.cloudinary.com/dxvvzdpzk/image/upload/v1770358384/cr_workshop_machines/type_bogie_wash_system.webp
CR-MAT-0027,LHB Coach Maintenance Facility,Grinding Machine,MTS Damper Tester,Olympus,2009,21-07-2023,Medium,https://res.cloudinary.com/dxvvzdpzk/image/upload/v1770358390/cr_workshop_machines/type_grinding_machine.jpg
